"Path ID","Unique ID","Rule ID","Left","Right"
"19","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"19","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"19","TRS_0_3_98_0","MNXR56599_MNXM9","1.MNXM12:1.MNXM2","1.CMPD_0000000187"
"20","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"20","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"20","TRS_0_1_5_0","MNXR81684_MNXM14,MNXR81781_MNXM3,MNXR93632_MNXM7,MNXR93637_MNXM19","1.CMPD_0000000021:1.MNXM15","1.CMPD_0000000006"
"20","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"20","TRS_0_2_223_0","MNXR53231_MNXM890,MNXR93744_MNXM890","1.CMPD_0000000163","1.CMPD_0000000026"
"20","TRS_0_2_40_0","MNXR1772_MNXM12,MNXR78501_MNXM12","1.CMPD_0000000192:1.MNXM3","1.CMPD_0000000021"
"20","TRS_0_2_9_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM481","1.CMPD_0000000018"
"20","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"20","TRS_0_3_46_0","MNXR12875_MNXM2620,MNXR466_MNXM334,MNXR7025_MNXM4817,MNXR70675_MNXM495,MNXR714_MNXM125,MNXR81551_MNXM334,MNXR81684_MNXM125,MNXR81781_MNXM423,MNXR86319_MNXM3596,MNXR88839_MNXM145884,MNXR891_MNXM423,MNXR91136_MNXM125,MNXR93632_MNXM495,MNXR93637_MNXM4817","1.CMPD_0000000018:1.MNXM2","1.CMPD_0000000192"
"21","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"21","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"21","TRS_0_1_5_0","MNXR81684_MNXM14,MNXR81781_MNXM3,MNXR93632_MNXM7,MNXR93637_MNXM19","1.CMPD_0000000021:1.MNXM15","1.CMPD_0000000006"
"21","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"21","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"21","TRS_0_2_44_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000194","1.CMPD_0000000021"
"21","TRS_0_3_113_0","MNXR12875_MNXM2620,MNXR466_MNXM334,MNXR7025_MNXM4817,MNXR70675_MNXM495,MNXR714_MNXM125,MNXR81551_MNXM334,MNXR81684_MNXM125,MNXR81781_MNXM423,MNXR86319_MNXM3596,MNXR88839_MNXM145884,MNXR891_MNXM423,MNXR91136_MNXM125,MNXR93632_MNXM495,MNXR93637_MNXM4817","1.MNXM12:1.MNXM2","1.CMPD_0000000194"
"21","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"21","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"22","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"22","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"22","TRS_0_1_2_0","MNXR92327_MNXM51115","1.CMPD_0000000017","1.CMPD_0000000006"
"22","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"22","TRS_0_2_224_0","MNXR89767_MNXM890","1.CMPD_0000000170","1.CMPD_0000000026"
"22","TRS_0_2_33_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000187","1.CMPD_0000000017"
"22","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"22","TRS_0_3_334_0","MNXR8824_MNXM3476,MNXR94628_MNXM3476","1.CMPD_0000000163:1.MNXM10","1.CMPD_0000000170"
"22","TRS_0_3_98_0","MNXR56599_MNXM9","1.MNXM12:1.MNXM2","1.CMPD_0000000187"
"23","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"23","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"23","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"23","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"23","TRS_0_2_223_0","MNXR53231_MNXM890,MNXR93744_MNXM890","1.CMPD_0000000163","1.CMPD_0000000026"
"23","TRS_0_2_231_0","MNXR23496_MNXM2779","1.CMPD_0000000179:1.MNXM4","1.CMPD_0000000011"
"23","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"23","TRS_0_3_340_0","MNXR4974_MNXM505","1.CMPD_0000000026","1.CMPD_0000000169"
"23","TRS_0_3_743_0","MNXR23495_MNXM577","1.CMPD_0000000169:1.MNXM2","1.CMPD_0000000179"
"24","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"24","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"24","TRS_0_1_5_0","MNXR81684_MNXM14,MNXR81781_MNXM3,MNXR93632_MNXM7,MNXR93637_MNXM19","1.CMPD_0000000021:1.MNXM15","1.CMPD_0000000006"
"24","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"24","TRS_0_2_224_0","MNXR89767_MNXM890","1.CMPD_0000000170","1.CMPD_0000000026"
